timestamp,user,source_ip,action,status,session_duration,bytes_transferred,failed_attempts,privilege_level,is_anomaly
2026-01-22 17:50:26,dbadmin,192.168.1.100,login_success,success,856,62516,0,1,0
2026-01-23 11:50:26,user2,192.168.1.101,file_access,success,574,47287,0,1,0
2026-01-23 12:05:26,dbadmin,192.168.1.102,file_access,success,1705,73374,0,1,0
2026-01-23 05:25:26,user2,192.168.1.101,config_read,success,2909,82730,0,1,0
2026-01-22 08:40:26,admin,10.0.0.50,config_read,success,585,70122,0,1,0
2026-01-23 06:55:26,admin,192.168.1.100,service_start,success,2903,20296,0,1,0
2026-01-23 02:35:26,admin,10.0.0.51,login_success,success,759,81437,0,1,0
2026-01-22 17:10:26,dbadmin,192.168.1.102,config_read,success,3333,41379,0,1,0
2026-01-23 03:25:26,dbadmin,10.0.0.50,admin_access,success,3589,4628784,0,3,1
2026-01-21 09:45:26,user1,192.168.1.102,file_access,success,3146,47271,0,1,0
2026-01-25 23:44:26,unknown,215.196.91.18,login_failed,failed,0,0,25,0,1
2026-01-21 04:45:26,user2,192.168.1.102,config_read,success,1351,98856,0,2,0
2026-01-23 03:25:26,user1,192.168.1.102,login_success,success,1066,66942,0,1,0
2026-01-22 05:47:26,user1,10.0.0.50,privilege_escalation,success,1789,8159,1,3,1
2026-01-21 05:26:26,webadmin,192.168.1.101,data_transfer,success,19888,83498554,0,2,1
2026-01-23 02:25:26,user2,10.0.0.50,admin_access,success,6171,1171986,0,3,1
2026-01-21 21:45:26,dbadmin,192.168.1.102,file_access,success,1167,99511,0,1,0
2026-01-22 01:25:26,dbadmin,192.168.1.101,admin_access,success,5279,2267413,0,3,1
2026-01-23 13:50:26,webadmin,192.168.1.101,service_start,success,3354,39225,0,1,0
2026-01-22 01:00:26,admin,192.168.1.102,service_start,success,2209,64449,0,1,0
2026-01-22 20:10:26,user2,192.168.1.102,logout,success,3043,72312,0,1,0
2026-01-21 12:55:26,admin,10.0.0.51,logout,success,996,41738,0,1,0
2026-01-22 05:20:26,dbadmin,192.168.1.101,config_read,success,1657,52196,0,1,0
2026-01-22 18:20:26,webadmin,192.168.1.102,config_read,success,1194,65353,0,1,0
2026-01-21 15:55:26,user2,192.168.1.102,logout,success,1312,87123,0,1,0
2026-01-21 18:00:26,admin,192.168.1.102,service_start,success,1973,31448,0,1,0
2026-01-21 06:50:26,webadmin,10.0.0.51,config_read,success,139,94045,0,2,0
2026-01-26 20:41:26,user1,10.0.0.51,privilege_escalation,success,320,10753,2,3,1
2026-01-24 12:27:26,user2,10.0.0.50,data_transfer,success,15063,71394671,0,2,1
2026-01-21 08:13:26,webadmin,192.168.1.102,data_transfer,success,23122,43432455,0,2,1
2026-01-22 03:15:26,user1,10.0.0.50,logout,success,2721,59576,0,2,0
2026-01-21 10:00:26,dbadmin,192.168.1.101,file_access,success,292,27734,0,1,0
2026-01-23 02:10:26,user2,10.0.0.50,login_success,success,534,32555,0,1,0
2026-01-22 16:00:26,user2,10.0.0.51,login_success,success,1770,68411,0,1,0
2026-01-22 05:15:26,admin,10.0.0.51,service_start,success,879,69828,0,1,0
2026-01-21 14:55:26,webadmin,192.168.1.102,logout,success,2235,62268,0,1,0
2026-01-23 07:40:26,dbadmin,10.0.0.50,file_access,success,2419,22225,0,1,0
2026-01-22 23:05:26,admin,10.0.0.50,file_access,success,2480,21963,0,1,0
2026-01-25 07:56:26,admin,10.0.0.50,data_transfer,success,13891,75534828,0,2,1
2026-01-21 03:20:26,dbadmin,192.168.1.102,service_start,success,3485,79657,0,1,0
2026-01-22 01:45:26,admin,10.0.0.51,service_start,success,2197,87365,0,1,0
2026-01-21 06:25:26,webadmin,10.0.0.50,file_access,success,773,56129,0,1,0
2026-01-22 00:25:26,user2,192.168.1.100,service_start,success,2908,32890,0,2,0
2026-01-24 01:55:26,user2,192.168.1.101,privilege_escalation,success,1755,23771,1,3,1
2026-01-21 23:20:26,dbadmin,192.168.1.102,service_start,success,2620,83495,0,1,0
2026-01-21 21:30:26,user1,192.168.1.101,logout,success,202,69577,0,1,0
2026-01-21 13:44:26,user2,10.0.0.50,data_transfer,success,17857,82070778,0,2,1
2026-01-23 00:30:26,user2,192.168.1.101,login_success,success,1415,88178,0,1,0
2026-01-22 11:00:26,admin,192.168.1.101,config_read,success,1597,15357,0,1,0
2026-01-23 14:39:26,unknown,159.201.231.45,login_failed,failed,0,0,6,0,1
2026-01-22 21:55:26,webadmin,192.168.1.101,config_read,success,456,27654,0,1,0
2026-01-23 22:25:26,webadmin,192.168.1.101,config_change,success,6703,1918060,0,3,1
2026-01-21 20:10:26,dbadmin,192.168.1.102,file_access,success,2956,45413,0,1,0
2026-01-22 22:35:26,user2,192.168.1.100,service_start,success,3313,55131,0,1,0
2026-01-21 00:20:26,user2,192.168.1.102,service_start,success,2685,65044,0,1,0
2026-01-21 00:55:26,dbadmin,192.168.1.101,file_access,success,3244,68172,0,1,0
