file_name,file_size,num_sections,num_imports,num_exports,entropy,has_debug,has_signature,num_suspicious_imports,code_section_entropy,data_section_entropy,resource_section_size,import_address_table_size,virtual_size,raw_size,num_dll_imports,has_tls,num_api_calls,suspicious_section_names,packer_detected,label
benign_33.exe,9925144,6,116,1,5.961635970757601,1,0,4,4.657156994310041,4.190769828604788,638025,1389,5073062,7145209,18,0,192,0,0,0
benign_3.exe,1998739,3,109,10,6.661328417237272,1,1,2,5.404435881779614,3.6738144688199457,206579,962,1196530,9259861,28,0,229,0,0,0
benign_20.exe,4885956,7,143,5,6.768194927144147,1,1,4,6.478369819626717,5.230058468680872,198283,1794,5893075,8209916,26,0,159,0,0,0
malware_45.exe,435925,7,297,9,7.268044365113415,0,0,12,7.214811668781953,6.085673505956657,1514868,2876,2085296,2240222,33,0,193,3,1,1
malware_44.exe,294761,8,222,4,6.761861247980533,0,0,5,7.104370775547732,6.718632053316568,864016,4915,5909701,5032564,20,1,432,3,1,1
malware_39.exe,4296049,6,127,9,7.466552760081112,0,0,29,7.031677075644124,6.676811131158701,1038202,3378,1529551,2331020,26,0,356,4,1,1
malware_22.exe,3743305,8,235,0,7.255128427760088,0,0,20,6.963628917309474,5.56097601424573,1411727,4046,821747,5442023,21,0,479,1,1,1
benign_30.exe,7686725,4,83,48,6.173000285676593,1,1,2,6.4363868558294435,3.5565765471093633,928280,1828,5844807,6072558,18,0,248,0,0,0
malware_10.exe,3130389,11,188,0,6.711004561551602,0,0,7,6.886339414782363,7.05839803223725,920681,2486,3996830,4386787,41,0,227,3,1,1
malware_0.exe,1742743,10,152,9,6.718392328470684,0,1,8,6.214300226882911,6.997043487782362,1123396,1269,5664759,1816891,39,0,291,4,0,1
malware_18.exe,4472201,11,98,3,6.554368628201193,0,0,9,6.783364890082207,7.270985172126805,13051,504,1104646,5904403,15,0,471,2,1,1
malware_30.exe,4458224,11,166,5,7.622952948637428,1,0,19,7.3367146705471065,6.71371255089849,1251290,3311,6675332,4504051,44,0,146,1,0,1
benign_23.exe,4606554,4,143,14,5.009147851672447,1,0,1,4.662092431815296,3.6605496058494342,663380,995,8412420,502732,23,0,105,0,0,0
malware_33.exe,3514442,10,168,7,7.027048713629269,0,1,21,6.565108454906911,7.224030089944966,1776616,4425,4563418,1433194,22,0,204,3,0,1
benign_40.exe,2954190,5,29,2,5.795643872809143,1,1,3,6.157766731765219,4.292662570985418,774299,1999,11056760,2042811,29,0,224,0,0,0
malware_4.exe,1335160,6,138,6,7.092762072988918,0,0,15,6.298263606133208,7.136086491321895,596146,4974,7740836,2281785,48,0,127,3,1,1
benign_26.exe,8651646,4,107,44,6.403721711272058,0,1,1,5.364481567785025,5.520364508223656,268579,771,10252829,4168316,26,1,145,0,0,0
benign_27.exe,8627171,5,36,11,5.1212310826437895,1,1,1,4.649388835515708,5.5572439775959435,684181,903,1363950,649148,16,0,229,0,0,0
malware_12.exe,4942306,8,197,7,7.066311377971067,0,1,21,6.2424430711419205,7.566674633612282,526349,3683,3021944,4377576,38,0,465,2,1,1
malware_31.exe,2648260,11,167,2,7.761621214687385,0,0,20,7.3353956758363745,6.54801053140714,76203,4968,260775,2717867,45,0,285,4,1,1
benign_5.exe,4427858,5,81,31,5.842817291194483,1,1,2,4.631417278856705,5.326582850085032,708662,1209,4292097,2759440,22,0,228,0,0,0
benign_38.exe,9579413,7,31,2,6.121339850414269,1,1,2,6.052000414070859,4.21593054925723,214373,1822,7737165,3950241,27,0,215,0,0,0
malware_26.exe,4654299,14,196,8,6.947039092626581,1,1,23,6.7395384866577075,5.691554145749097,1708884,4991,2417336,4210435,30,1,250,4,1,1
