timestamp,source_ip,attempts,failed_count,success_count,unique_users,failed_ratio,attempts_per_sec,label,confidence,prediction
2026-01-01 00:08:00,192.168.1.12,2,2,0,2,1.0,0.03333333333333333,0,0.92766494,1
2026-01-01 05:52:00,192.168.1.35,2,2,0,2,1.0,0.03333333333333333,0,0.92766494,1
2026-01-01 06:00:00,10.0.0.5,120,120,0,1,1.0,2.0,1,0.991568,1
2026-01-01 06:01:00,10.0.0.5,80,80,0,1,1.0,1.3333333333333333,1,0.991568,1
2026-01-01 14:00:00,10.0.0.2,120,120,0,1,1.0,2.0,1,0.991568,1
2026-01-01 14:00:00,10.0.0.3,120,120,0,1,1.0,2.0,1,0.991568,1
2026-01-01 14:01:00,10.0.0.2,80,80,0,1,1.0,1.3333333333333333,1,0.991568,1
2026-01-01 14:01:00,10.0.0.3,80,80,0,1,1.0,1.3333333333333333,1,0.991568,1
2026-01-01 15:00:00,10.0.0.10,2,2,0,2,1.0,0.03333333333333333,1,0.92766494,1
2026-01-01 15:00:00,10.0.0.11,5,5,0,5,1.0,0.08333333333333333,1,0.9897143,1
2026-01-01 15:00:00,10.0.0.12,3,3,0,3,1.0,0.05,1,0.9897143,1
2026-01-01 15:00:00,10.0.0.13,2,2,0,2,1.0,0.03333333333333333,1,0.92766494,1
2026-01-01 15:00:00,10.0.0.14,3,3,0,3,1.0,0.05,1,0.9897143,1
2026-01-01 15:00:00,10.0.0.15,5,5,0,5,1.0,0.08333333333333333,1,0.9897143,1
2026-01-01 15:00:00,10.0.0.6,4,4,0,4,1.0,0.06666666666666667,1,0.9897143,1
2026-01-01 15:00:00,10.0.0.7,2,2,0,2,1.0,0.03333333333333333,1,0.92766494,1
2026-01-01 15:00:00,10.0.0.8,3,3,0,3,1.0,0.05,1,0.9897143,1
2026-01-01 15:01:00,10.0.0.10,4,4,0,4,1.0,0.06666666666666667,1,0.9897143,1
2026-01-01 15:01:00,10.0.0.11,4,4,0,4,1.0,0.06666666666666667,1,0.9897143,1
2026-01-01 15:01:00,10.0.0.13,5,5,0,5,1.0,0.08333333333333333,1,0.9897143,1
