timestamp,source_ip,username,status,label
2026-01-01 00:00:07.000,192.168.1.32,user1,success,0
2026-01-01 00:01:05.000,192.168.1.46,guest,success,0
2026-01-01 00:01:05.000,192.168.1.31,user2,success,0
2026-01-01 00:02:05.000,192.168.1.16,webmaster,failed,0
2026-01-01 00:02:10.000,192.168.1.11,guest,success,0
2026-01-01 00:03:26.000,192.168.1.18,admin,success,0
2026-01-01 00:03:47.000,192.168.1.22,webmaster,success,0
2026-01-01 00:03:52.000,192.168.1.15,user1,success,0
2026-01-01 00:04:32.000,192.168.1.42,webmaster,success,0
2026-01-01 00:04:36.000,192.168.1.25,user1,success,0
2026-01-01 00:05:11.000,192.168.1.29,webmaster,success,0
2026-01-01 00:06:03.000,192.168.1.20,support,success,0
2026-01-01 00:06:30.000,192.168.1.32,admin,success,0
2026-01-01 00:06:31.000,192.168.1.45,webmaster,success,0
2026-01-01 00:07:37.000,192.168.1.25,user2,success,0
2026-01-01 00:08:19.000,192.168.1.12,user2,failed,0
2026-01-01 00:08:28.000,192.168.1.12,admin,failed,0
2026-01-01 00:09:00.000,192.168.1.26,admin,success,0
2026-01-01 00:09:43.000,192.168.1.27,db_admin,success,0
2026-01-01 00:09:44.000,192.168.1.17,support,success,0
2026-01-01 00:10:08.000,192.168.1.38,db_admin,success,0
2026-01-01 00:10:45.000,192.168.1.19,guest,success,0
2026-01-01 00:11:08.000,192.168.1.20,user2,success,0
2026-01-01 00:12:02.000,192.168.1.13,user2,failed,0
2026-01-01 00:12:35.000,192.168.1.25,db_admin,success,0
2026-01-01 00:13:00.000,192.168.1.15,admin,success,0
2026-01-01 00:13:27.000,192.168.1.23,guest,success,0
2026-01-01 00:14:28.000,192.168.1.41,user1,success,0
2026-01-01 00:14:29.000,192.168.1.17,guest,success,0
2026-01-01 00:15:26.000,192.168.1.20,guest,success,0
2026-01-01 00:15:39.000,192.168.1.35,support,failed,0
2026-01-01 00:15:39.000,192.168.1.11,user1,success,0
2026-01-01 00:16:17.000,192.168.1.19,webmaster,success,0
2026-01-01 00:17:15.000,192.168.1.28,webmaster,success,0
2026-01-01 00:17:55.000,192.168.1.24,guest,success,0
2026-01-01 00:18:06.000,192.168.1.49,user1,success,0
2026-01-01 00:18:08.000,192.168.1.20,db_admin,success,0
2026-01-01 00:19:08.000,192.168.1.31,guest,success,0
2026-01-01 00:19:43.000,192.168.1.21,guest,success,0
2026-01-01 00:20:13.000,192.168.1.40,support,success,0
2026-01-01 00:20:26.000,192.168.1.35,db_admin,success,0
2026-01-01 00:20:56.000,192.168.1.18,support,success,0
2026-01-01 00:21:08.000,192.168.1.22,guest,success,0
2026-01-01 00:22:10.000,192.168.1.15,guest,success,0
2026-01-01 00:22:11.000,192.168.1.14,webmaster,success,0
2026-01-01 00:23:15.000,192.168.1.22,db_admin,success,0
2026-01-01 00:23:36.000,192.168.1.30,user2,success,0
2026-01-01 00:23:56.000,192.168.1.14,admin,success,0
2026-01-01 00:24:43.000,192.168.1.35,webmaster,success,0
2026-01-01 00:25:15.000,192.168.1.40,webmaster,success,0
2026-01-01 00:25:48.000,192.168.1.33,support,success,0
2026-01-01 00:26:06.000,192.168.1.15,guest,success,0
2026-01-01 00:26:30.000,192.168.1.32,guest,success,0
2026-01-01 00:26:52.000,192.168.1.26,admin,failed,0
2026-01-01 00:27:22.000,192.168.1.38,admin,success,0
2026-01-01 00:28:23.000,192.168.1.10,webmaster,success,0
2026-01-01 00:28:34.000,192.168.1.48,user1,success,0
2026-01-01 00:29:13.000,192.168.1.49,support,success,0
2026-01-01 00:29:41.000,192.168.1.38,db_admin,success,0
2026-01-01 00:30:21.000,192.168.1.46,admin,success,0
2026-01-01 00:30:31.000,192.168.1.49,support,success,0
2026-01-01 00:30:51.000,192.168.1.13,user2,success,0
2026-01-01 00:31:04.000,192.168.1.18,guest,success,0
2026-01-01 00:32:20.000,192.168.1.48,guest,failed,0
2026-01-01 00:32:28.000,192.168.1.39,guest,success,0
2026-01-01 00:32:46.000,192.168.1.13,admin,success,0
2026-01-01 00:33:04.000,192.168.1.27,webmaster,success,0
2026-01-01 00:34:10.000,192.168.1.14,admin,success,0
2026-01-01 00:34:33.000,192.168.1.34,user1,success,0
2026-01-01 00:35:12.000,192.168.1.18,admin,success,0
2026-01-01 00:35:19.000,192.168.1.30,user2,success,0
2026-01-01 00:36:25.000,192.168.1.14,db_admin,success,0
2026-01-01 00:36:28.000,192.168.1.35,user1,success,0
2026-01-01 00:36:37.000,192.168.1.30,webmaster,success,0
2026-01-01 00:37:41.000,192.168.1.32,webmaster,success,0
2026-01-01 00:38:07.000,192.168.1.47,user1,failed,0
2026-01-01 00:38:16.000,192.168.1.41,support,success,0
2026-01-01 00:39:03.000,192.168.1.36,guest,success,0
2026-01-01 00:39:22.000,192.168.1.25,admin,success,0
2026-01-01 00:39:56.000,192.168.1.31,guest,failed,0
2026-01-01 00:40:31.000,192.168.1.28,user1,failed,0
2026-01-01 00:40:33.000,192.168.1.30,guest,success,0
2026-01-01 00:41:31.000,192.168.1.21,guest,success,0
2026-01-01 00:42:15.000,192.168.1.41,support,success,0
2026-01-01 00:42:18.000,192.168.1.27,guest,success,0
2026-01-01 00:43:12.000,192.168.1.16,user1,success,0
2026-01-01 00:43:46.000,192.168.1.33,user2,success,0
2026-01-01 00:44:17.000,192.168.1.41,user1,success,0
2026-01-01 00:44:18.000,192.168.1.31,guest,success,0
2026-01-01 00:45:09.000,192.168.1.26,webmaster,success,0
2026-01-01 00:45:10.000,192.168.1.20,user2,success,0
2026-01-01 00:46:15.000,192.168.1.36,admin,success,0
2026-01-01 00:46:26.000,192.168.1.19,db_admin,success,0
2026-01-01 00:46:31.000,192.168.1.21,admin,success,0
2026-01-01 00:47:39.000,192.168.1.34,guest,success,0
2026-01-01 00:47:41.000,192.168.1.33,support,success,0
2026-01-01 00:48:34.000,192.168.1.38,user2,success,0
